Year,Units,Industry category,Value
2005,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.039797
2006,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.030590
2007,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.035258
2008,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.031650
2009,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.027709
2010,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.023638
2011,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.031359
2012,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.023901
2013,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.022798
2014,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.024079
2015,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.025859
2016,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.026657
2017,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.020307
2018,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.018846
2019,Percentage of GDP,"C: 29 Manufacture of motor vehicles, trailers and semi-trailers",0.014311
1997,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.207395
1998,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.185275
1999,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.153506
2000,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.149005
2001,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.144658
2002,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.139619
2003,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.110877
2004,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.102658
2005,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.106877
2006,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.088632
2007,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.020854
2008,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.026208
2009,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.021964
2010,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.026101
2011,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.025937
2012,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.023310
2013,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.029556
2014,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.038132
2015,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.030519
2016,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.019109
2017,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.020388
2018,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.017787
2019,Percentage of GDP,C: 30 Manufacture of other transport equipment,0.018613
1997,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.813525
1998,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.831206
1999,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.826964
2000,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.854668
2001,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.841439
2002,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.839249
2003,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.829457
2004,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.849761
2005,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.744644
2006,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.857274
2007,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.536201
2008,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.569209
2009,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.438710
2010,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.572547
2011,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.646483
2012,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.650709
2013,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.692428
2014,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.731910
2015,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.732881
2016,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.697011
2017,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.609573
2018,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.590815
2019,Percentage of GDP,C: 31-32 Manufacture of furniture; other manufacturing,0.631491
1997,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.659616
1998,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.603242
1999,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.521154
2000,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.504641
2001,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.493530
2002,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.468740
2003,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.380259
2004,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.359773
2005,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.367170
2006,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.316318
2007,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.292822
2008,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.441879
2009,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.442261
2010,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.431639
2011,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.579526
2012,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.535757
2013,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.553615
2014,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.550377
2015,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.513769
2016,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.527778
2017,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.436291
2018,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.452478
2019,Percentage of GDP,C: 33 Repair and installation of machinery and equipment,0.389609
1997,MISK per capita,C. Manufacturing,0.281323
1998,MISK per capita,C. Manufacturing,0.296844
1999,MISK per capita,C. Manufacturing,0.278112
2000,MISK per capita,C. Manufacturing,0.292981
2001,MISK per capita,C. Manufacturing,0.374656
2002,MISK per capita,C. Manufacturing,0.344471
2003,MISK per capita,C. Manufacturing,0.331358
2004,MISK per capita,C. Manufacturing,0.348443
2005,MISK per capita,C. Manufacturing,0.312369
2006,MISK per capita,C. Manufacturing,0.363200
2007,MISK per capita,C. Manufacturing,0.351969
2008,MISK per capita,C. Manufacturing,0.545789
2009,MISK per capita,C. Manufacturing,0.558721
2010,MISK per capita,C. Manufacturing,0.675872
2011,MISK per capita,C. Manufacturing,0.723228
2012,MISK per capita,C. Manufacturing,0.671929
2013,MISK per capita,C. Manufacturing,0.700786
2014,MISK per capita,C. Manufacturing,0.721280
2015,MISK per capita,C. Manufacturing,0.737806
2016,MISK per capita,C. Manufacturing,0.696536
2017,MISK per capita,C. Manufacturing,0.685907
2018,MISK per capita,C. Manufacturing,0.672039
2019,MISK per capita,C. Manufacturing,0.720813
1997,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.130546
1998,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.135555
1999,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.122992
2000,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.115795
2001,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.174008
2002,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.144849
2003,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.133430
2004,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.127892
2005,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.113268
2006,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.118362
2007,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.107507
2008,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.195251
2009,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.264752
2010,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.254095
2011,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.289853
2012,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.297615
2013,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.319185
2014,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.297169
2015,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.314250
2016,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.297042
2017,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.283153
2018,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.173196
2019,MISK per capita,"C: 10-12 Manufacture of food products, beverages and tobacco products",0.185353
1997,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.010440
1998,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.009059
1999,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.008916
2000,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.008542
2001,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.008716
2002,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.009077
2003,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.008368
2004,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.007582
2005,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.007241
2006,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.005991
2007,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.006073
2008,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.005411
2009,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.008068
2010,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.008378
2011,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.008999
2012,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.009065
2013,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.009372
2014,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.010247
2015,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.009411
2016,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.008563
2017,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.007981
2018,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.008345
2019,MISK per capita,"C: 13-15 Manufacture of textiles, wearing apparel and leather products",0.008833
1997,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.007392
1998,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.007191
1999,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.007365
2000,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.007858
2001,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.008194
2002,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.008769
2003,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.009151
2004,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.008443
2005,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.008539
2006,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.009140
2007,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.006702
2008,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.006118
2009,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.005289
2010,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.004779
2011,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.004687
2012,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.004325
2013,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.005171
2014,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.005639
2015,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.005444
2016,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.006242
2017,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.006612
2018,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.005634
2019,MISK per capita,C: 16-17 Manufacture of wood and paper products,0.005457
1997,MISK per capita,C: 18 Printing and reproduction of recorded media,0.007206
1998,MISK per capita,C: 18 Printing and reproduction of recorded media,0.008571
1999,MISK per capita,C: 18 Printing and reproduction of recorded media,0.008828
2000,MISK per capita,C: 18 Printing and reproduction of recorded media,0.008035
2001,MISK per capita,C: 18 Printing and reproduction of recorded media,0.008342
2002,MISK per capita,C: 18 Printing and reproduction of recorded media,0.008214
2003,MISK per capita,C: 18 Printing and reproduction of recorded media,0.008007
2004,MISK per capita,C: 18 Printing and reproduction of recorded media,0.009771
2005,MISK per capita,C: 18 Printing and reproduction of recorded media,0.009291
2006,MISK per capita,C: 18 Printing and reproduction of recorded media,0.009706
2007,MISK per capita,C: 18 Printing and reproduction of recorded media,0.013568
2008,MISK per capita,C: 18 Printing and reproduction of recorded media,0.016629
2009,MISK per capita,C: 18 Printing and reproduction of recorded media,0.017033
2010,MISK per capita,C: 18 Printing and reproduction of recorded media,0.017637
2011,MISK per capita,C: 18 Printing and reproduction of recorded media,0.018005
2012,MISK per capita,C: 18 Printing and reproduction of recorded media,0.017373
2013,MISK per capita,C: 18 Printing and reproduction of recorded media,0.019066
2014,MISK per capita,C: 18 Printing and reproduction of recorded media,0.019172
2015,MISK per capita,C: 18 Printing and reproduction of recorded media,0.019188
2016,MISK per capita,C: 18 Printing and reproduction of recorded media,0.020885
2017,MISK per capita,C: 18 Printing and reproduction of recorded media,0.018489
2018,MISK per capita,C: 18 Printing and reproduction of recorded media,0.015575
2019,MISK per capita,C: 18 Printing and reproduction of recorded media,0.013868
1997,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,0.000000
1998,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,0.000000
1999,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,0.000000
2000,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,0.000000
2001,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,0.000000
2002,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,0.000000
2003,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,0.000000
2004,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,0.000000
2005,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,0.000000
2006,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,0.000000
2007,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,0.000001
2008,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,0.000001
2009,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,0.000001
2010,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,0.000012
2011,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,0.000006
2012,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,0.000000
2013,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,0.000032
2014,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,0.000041
2015,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,-0.000111
2016,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,0.000131
2017,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,0.000912
2018,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,0.001171
2019,MISK per capita,C: 19 Manufacture of coke and refined petroleum products,0.000980
1997,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.011328
1998,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.012493
1999,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.012722
2000,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.014077
2001,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.018469
2002,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.020007
2003,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.027302
2004,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.034055
2005,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.020409
2006,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.020790
2007,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.021919
2008,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.030659
2009,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.026120
2010,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.025230
2011,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.026076
2012,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.023544
2013,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.024685
2014,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.025228
2015,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.022909
2016,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",0.020617
2017,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",-0.005547
2018,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",-0.003358
2019,MISK per capita,"C: 20-21 Manufacture of chemicals, chemical products, basic pharmaceutical products and pharmaceutical preparations",-0.004028
1997,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.008243
1998,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.008468
1999,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.008481
2000,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.008180
2001,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.008820
2002,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.008396
2003,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.009291
2004,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.009514
2005,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.008751
2006,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.007166
2007,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.007977
2008,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.008877
2009,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.007987
2010,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.007138
2011,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.008110
2012,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.008483
2013,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.008933
2014,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.008977
2015,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.010782
2016,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.009808
2017,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.009620
2018,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.009734
2019,MISK per capita,C: 22 Manufacture of rubber and plastic products,0.009560
1997,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.012240
1998,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.012999
1999,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.012237
2000,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.015233
2001,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.016047
2002,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.014776
2003,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.015317
2004,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.017221
2005,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.022309
2006,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.028385
2007,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.035275
2008,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.030699
2009,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.016023
2010,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.012639
2011,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.011412
2012,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.011973
2013,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.013985
2014,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.018250
2015,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.023125
2016,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.028330
2017,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.035104
2018,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.037221
2019,MISK per capita,C: 23 Manufacture of other non-metallic mineral products,0.034096
1997,MISK per capita,C: 24 Manufacture of basic metals,0.026283
1998,MISK per capita,C: 24 Manufacture of basic metals,0.029419
1999,MISK per capita,C: 24 Manufacture of basic metals,0.022933
2000,MISK per capita,C: 24 Manufacture of basic metals,0.038776
2001,MISK per capita,C: 24 Manufacture of basic metals,0.048443
2002,MISK per capita,C: 24 Manufacture of basic metals,0.045103
2003,MISK per capita,C: 24 Manufacture of basic metals,0.038947
2004,MISK per capita,C: 24 Manufacture of basic metals,0.046303
2005,MISK per capita,C: 24 Manufacture of basic metals,0.033945
2006,MISK per capita,C: 24 Manufacture of basic metals,0.062164
2007,MISK per capita,C: 24 Manufacture of basic metals,0.057296
2008,MISK per capita,C: 24 Manufacture of basic metals,0.136301
2009,MISK per capita,C: 24 Manufacture of basic metals,0.109951
2010,MISK per capita,C: 24 Manufacture of basic metals,0.223995
2011,MISK per capita,C: 24 Manufacture of basic metals,0.212741
2012,MISK per capita,C: 24 Manufacture of basic metals,0.145368
2013,MISK per capita,C: 24 Manufacture of basic metals,0.139648
2014,MISK per capita,C: 24 Manufacture of basic metals,0.163879
2015,MISK per capita,C: 24 Manufacture of basic metals,0.150723
2016,MISK per capita,C: 24 Manufacture of basic metals,0.103854
2017,MISK per capita,C: 24 Manufacture of basic metals,0.136309
2018,MISK per capita,C: 24 Manufacture of basic metals,0.085330
2019,MISK per capita,C: 24 Manufacture of basic metals,0.094889
1997,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.019303
1998,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.021532
1999,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.022047
2000,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.022667
2001,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.022499
2002,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.022706
2003,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.021743
2004,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.022239
2005,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.024991
2006,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.029082
2007,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.036131
2008,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.034940
2009,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.024397
2010,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.028029
2011,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.029831
2012,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.032723
2013,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.034085
2014,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.039563
2015,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.043211
2016,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.049680
2017,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.051248
2018,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.054813
2019,MISK per capita,"C: 25 Manufacture of fabricated metal products, except machinery and equipment",0.058341
1997,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.000463
1998,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.000586
1999,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.000658
2000,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.000853
2001,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.001148
2002,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.001162
2003,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.001053
2004,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.001404
2005,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.000966
2006,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.002102
2007,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.001777
2008,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.002004
2009,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.002536
2010,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.002653
2011,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.003381
2012,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.002680
2013,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.002760
2014,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.003745
2015,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.003302
2016,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.003529
2017,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.003235
2018,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.003280
2019,MISK per capita,"C: 26 Manufacture of computer, electronic and optical products",0.002571
1997,MISK per capita,C: 27 Manufacture of electrical equipment,0.001369
