Year,Sector,Units,Value
2010,O - Public administration and defence; compulsory social security,Eurostat - AEA,6.15
2011,O - Public administration and defence; compulsory social security,Eurostat - AEA,5.92
2012,O - Public administration and defence; compulsory social security,Eurostat - AEA,6.26
2013,O - Public administration and defence; compulsory social security,Eurostat - AEA,6.37
2014,O - Public administration and defence; compulsory social security,Eurostat - AEA,6.07
2015,O - Public administration and defence; compulsory social security,Eurostat - AEA,7.34
2016,O - Public administration and defence; compulsory social security,Eurostat - AEA,7.45
2017,O - Public administration and defence; compulsory social security,Eurostat - AEA,7.6
1995,P - Education,Eurostat - AEA,0.13
1996,P - Education,Eurostat - AEA,0.11
1997,P - Education,Eurostat - AEA,0.1
1998,P - Education,Eurostat - AEA,0.16
1999,P - Education,Eurostat - AEA,0.16
2000,P - Education,Eurostat - AEA,0.19
2001,P - Education,Eurostat - AEA,0.2
2002,P - Education,Eurostat - AEA,0.19
2003,P - Education,Eurostat - AEA,0.26
2004,P - Education,Eurostat - AEA,0.26
2005,P - Education,Eurostat - AEA,0.34
2006,P - Education,Eurostat - AEA,0.46
2007,P - Education,Eurostat - AEA,0.56
2008,P - Education,Eurostat - AEA,0.55
2009,P - Education,Eurostat - AEA,0.64
2010,P - Education,Eurostat - AEA,0.92
2011,P - Education,Eurostat - AEA,0.78
2012,P - Education,Eurostat - AEA,0.82
2013,P - Education,Eurostat - AEA,0.81
2014,P - Education,Eurostat - AEA,0.81
2015,P - Education,Eurostat - AEA,0.87
2016,P - Education,Eurostat - AEA,0.91
2017,P - Education,Eurostat - AEA,0.92
1995,Q - Human health and social work activities,Eurostat - AEA,0.39
1996,Q - Human health and social work activities,Eurostat - AEA,0.34
1997,Q - Human health and social work activities,Eurostat - AEA,0.35
1998,Q - Human health and social work activities,Eurostat - AEA,0.38
1999,Q - Human health and social work activities,Eurostat - AEA,0.46
2000,Q - Human health and social work activities,Eurostat - AEA,0.59
2001,Q - Human health and social work activities,Eurostat - AEA,0.74
2002,Q - Human health and social work activities,Eurostat - AEA,1.0
2003,Q - Human health and social work activities,Eurostat - AEA,1.15
2004,Q - Human health and social work activities,Eurostat - AEA,1.26
2005,Q - Human health and social work activities,Eurostat - AEA,1.38
2006,Q - Human health and social work activities,Eurostat - AEA,1.81
2007,Q - Human health and social work activities,Eurostat - AEA,1.76
2008,Q - Human health and social work activities,Eurostat - AEA,1.89
2009,Q - Human health and social work activities,Eurostat - AEA,2.09
2010,Q - Human health and social work activities,Eurostat - AEA,2.18
2011,Q - Human health and social work activities,Eurostat - AEA,2.12
2012,Q - Human health and social work activities,Eurostat - AEA,2.25
2013,Q - Human health and social work activities,Eurostat - AEA,2.05
2014,Q - Human health and social work activities,Eurostat - AEA,1.96
2015,Q - Human health and social work activities,Eurostat - AEA,2.17
2016,Q - Human health and social work activities,Eurostat - AEA,2.35
2017,Q - Human health and social work activities,Eurostat - AEA,2.18
1995,"R - Arts, entertainment and recreation",Eurostat - AEA,0.35
1996,"R - Arts, entertainment and recreation",Eurostat - AEA,0.33
1997,"R - Arts, entertainment and recreation",Eurostat - AEA,0.39
1998,"R - Arts, entertainment and recreation",Eurostat - AEA,0.36
1999,"R - Arts, entertainment and recreation",Eurostat - AEA,0.41
2000,"R - Arts, entertainment and recreation",Eurostat - AEA,0.97
2001,"R - Arts, entertainment and recreation",Eurostat - AEA,0.59
2002,"R - Arts, entertainment and recreation",Eurostat - AEA,0.57
2003,"R - Arts, entertainment and recreation",Eurostat - AEA,0.66
2004,"R - Arts, entertainment and recreation",Eurostat - AEA,1.08
2005,"R - Arts, entertainment and recreation",Eurostat - AEA,0.81
2006,"R - Arts, entertainment and recreation",Eurostat - AEA,1.0
2007,"R - Arts, entertainment and recreation",Eurostat - AEA,1.01
2008,"R - Arts, entertainment and recreation",Eurostat - AEA,1.32
2009,"R - Arts, entertainment and recreation",Eurostat - AEA,1.26
2010,"R - Arts, entertainment and recreation",Eurostat - AEA,1.42
2011,"R - Arts, entertainment and recreation",Eurostat - AEA,1.32
2012,"R - Arts, entertainment and recreation",Eurostat - AEA,1.35
2013,"R - Arts, entertainment and recreation",Eurostat - AEA,1.32
2014,"R - Arts, entertainment and recreation",Eurostat - AEA,1.27
2015,"R - Arts, entertainment and recreation",Eurostat - AEA,1.64
2016,"R - Arts, entertainment and recreation",Eurostat - AEA,1.6
2017,"R - Arts, entertainment and recreation",Eurostat - AEA,1.87
1995,S - Other services activities,Eurostat - AEA,0.94
1996,S - Other services activities,Eurostat - AEA,0.94
1997,S - Other services activities,Eurostat - AEA,1.04
1998,S - Other services activities,Eurostat - AEA,1.03
1999,S - Other services activities,Eurostat - AEA,1.08
2000,S - Other services activities,Eurostat - AEA,0.94
2001,S - Other services activities,Eurostat - AEA,0.78
2002,S - Other services activities,Eurostat - AEA,0.83
2003,S - Other services activities,Eurostat - AEA,0.97
2004,S - Other services activities,Eurostat - AEA,0.96
2005,S - Other services activities,Eurostat - AEA,1.06
2006,S - Other services activities,Eurostat - AEA,1.17
2007,S - Other services activities,Eurostat - AEA,1.29
2008,S - Other services activities,Eurostat - AEA,1.35
2009,S - Other services activities,Eurostat - AEA,1.53
2010,S - Other services activities,Eurostat - AEA,1.56
2011,S - Other services activities,Eurostat - AEA,1.53
2012,S - Other services activities,Eurostat - AEA,1.56
2013,S - Other services activities,Eurostat - AEA,1.52
2014,S - Other services activities,Eurostat - AEA,1.5
2015,S - Other services activities,Eurostat - AEA,1.67
2016,S - Other services activities,Eurostat - AEA,2.17
2017,S - Other services activities,Eurostat - AEA,1.78
1995,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.4
1996,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.38
1997,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.37
1998,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.3
1999,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.24
2000,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.19
2001,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.29
2002,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.19
2003,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.22
2004,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.2
2005,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.22
2006,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.21
2007,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.25
2008,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.2
2009,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.17
2010,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.21
2011,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.16
2012,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.17
2013,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.17
2014,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.23
2015,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.17
2016,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.15
2017,U - Activities of extraterritorial organisations and bodies,Eurostat - AEA,0.19
1995,Households,Eurostat - AEA,531.16
1996,Households,Eurostat - AEA,521.24
1997,Households,Eurostat - AEA,523.56
1998,Households,Eurostat - AEA,539.04
1999,Households,Eurostat - AEA,551.18
2000,Households,Eurostat - AEA,540.74
2001,Households,Eurostat - AEA,538.85
2002,Households,Eurostat - AEA,536.99
2003,Households,Eurostat - AEA,550.54
2004,Households,Eurostat - AEA,572.71
2005,Households,Eurostat - AEA,588.69
2006,Households,Eurostat - AEA,631.63
2007,Households,Eurostat - AEA,600.78
2008,Households,Eurostat - AEA,574.66
2009,Households,Eurostat - AEA,600.05
2010,Households,Eurostat - AEA,580.52
2011,Households,Eurostat - AEA,567.07
2012,Households,Eurostat - AEA,559.17
2013,Households,Eurostat - AEA,557.81
2014,Households,Eurostat - AEA,551.58
2015,Households,Eurostat - AEA,574.91
2016,Households,Eurostat - AEA,597.78
2017,Households,Eurostat - AEA,620.02
